"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"125","7","7","300","8","0","0.05","70","0","0.54","0.46"
"115","7","7","300","8","0","0.05","63","0","0.6","0.4"
"128","7","7","300","8","0","0.05","46","0","0.55","0.45"
"132","7","7","300","8","0","0.05","56","0","0.5033333333333333","0.49666666666666665"
"133","7","7","300","8","0","0.05","70","0","0.66","0.34"
"126","7","7","300","8","0","0.05","70","0","0.5433333333333333","0.45666666666666667"
"130","7","7","300","8","0","0.05","70","0","0.42333333333333334","0.5766666666666667"
"124","7","7","300","8","0","0.05","52","0","0.5366666666666666","0.4633333333333333"
"135","7","7","300","8","0","0.05","62","0","0.6466666666666666","0.35333333333333333"
"136","7","7","300","8","0","0.05","56","0","0.5433333333333333","0.45666666666666667"
"127","7","7","300","8","0","0.05","70","0","0.5333333333333333","0.4666666666666667"
"134","7","7","300","8","0","0.05","70","0","0.49666666666666665","0.5033333333333333"
"131","7","7","300","8","0","0.05","70","0","0.51","0.49"
"139","7","7","300","8","0","0.05","70","0","0.4033333333333333","0.5966666666666667"
"137","7","7","300","8","0","0.05","70","0","0.4266666666666667","0.5733333333333334"
"141","7","7","300","8","0","0.05","62","0","0.49333333333333335","0.5066666666666667"
"138","7","7","300","8","0","0.05","70","0","0.4633333333333333","0.5366666666666666"
"140","7","7","300","8","0","0.05","70","0","0.42333333333333334","0.5766666666666667"
"143","7","7","300","8","0","0.05","67","0","0.5466666666666666","0.4533333333333333"
"144","7","7","300","8","0","0.05","70","0","0.5766666666666667","0.42333333333333334"
"142","7","7","300","8","0","0.05","70","0","0.61","0.39"
"149","7","7","300","8","0","0.05","70","0","0.5866666666666667","0.41333333333333333"
"145","7","7","300","8","0","0.05","70","0","0.6166666666666667","0.38333333333333336"
"148","7","7","300","8","0","0.05","65","0","0.42333333333333334","0.5766666666666667"
"147","7","7","300","8","0","0.05","70","0","0.45","0.55"
"152","7","7","300","8","0","0.05","59","0","0.5366666666666666","0.4633333333333333"
"151","7","7","300","8","0","0.05","70","0","0.44666666666666666","0.5533333333333333"
"146","7","7","300","8","0","0.05","70","0","0.54","0.46"
"153","7","7","300","8","0","0.05","68","0","0.45666666666666667","0.5433333333333333"
"154","7","7","300","8","0","0.05","66","0","0.51","0.49"
"156","7","7","300","8","0","0.05","55","0","0.48333333333333334","0.5166666666666667"
"158","7","7","300","8","0","0.05","53","0","0.62","0.38"
"159","7","7","300","8","0","0.05","70","0","0.6033333333333334","0.39666666666666667"
"155","7","7","300","8","0","0.05","52","0","0.6533333333333333","0.3466666666666667"
"150","7","7","300","8","0","0.05","70","0","0.62","0.38"
"161","7","7","300","8","0","0.05","49","0","0.5266666666666666","0.47333333333333333"
"157","7","7","300","8","0","0.05","70","0","0.8066666666666666","0.19333333333333333"
"163","7","7","300","8","0","0.05","50","0","0.4033333333333333","0.5966666666666667"
"164","7","7","300","8","0","0.05","70","0","0.6266666666666667","0.37333333333333335"
"160","7","7","300","8","0","0.05","70","0","0.7266666666666667","0.2733333333333333"
"168","7","7","300","8","0","0.05","70","0","0.45","0.55"
"165","7","7","300","8","0","0.05","70","0","0.54","0.46"
"171","7","7","300","8","0","0.05","68","0","0.5566666666666666","0.44333333333333336"
"166","7","7","300","8","0","0.05","70","0","0.6","0.4"
"169","7","7","300","8","0","0.05","68","0","0.43666666666666665","0.5633333333333334"
"175","7","7","300","8","0","0.05","42","0","0.45","0.55"
"170","7","7","300","8","0","0.05","60","0","0.45666666666666667","0.5433333333333333"
"172","7","7","300","8","0","0.05","70","0","0.6133333333333333","0.38666666666666666"
"162","7","7","300","8","0","0.05","70","0","0.67","0.33"
"174","7","7","300","8","0","0.05","55","0","0.6833333333333333","0.31666666666666665"
"173","7","7","300","8","0","0.05","70","0","0.6033333333333334","0.39666666666666667"
"177","7","7","300","8","0","0.05","70","0","0.5833333333333334","0.4166666666666667"
"180","7","7","300","8","0","0.05","53","0","0.5233333333333333","0.4766666666666667"
"167","7","7","300","8","0","0.05","60","0","0.4866666666666667","0.5133333333333333"
"176","7","7","300","8","0","0.05","46","0","0.4766666666666667","0.5233333333333333"
"178","7","7","300","8","0","0.05","69","0","0.5933333333333334","0.4066666666666667"
"179","7","7","300","8","0","0.05","70","0","0.5933333333333334","0.4066666666666667"
"182","7","7","300","8","0","0.05","70","0","0.6066666666666667","0.3933333333333333"
"185","7","7","300","8","0","0.05","70","0","0.6333333333333333","0.36666666666666664"
"181","7","7","300","8","0","0.05","70","0","0.6233333333333333","0.37666666666666665"
"183","7","7","300","8","0","0.05","68","0","0.3566666666666667","0.6433333333333333"
"186","7","7","300","8","0","0.05","70","0","0.4166666666666667","0.5833333333333334"
"187","7","7","300","8","0","0.05","52","0","0.6733333333333333","0.32666666666666666"
"188","7","7","300","8","0","0.05","51","0","0.6666666666666666","0.3333333333333333"
"189","7","7","300","8","0","0.05","47","0","0.5333333333333333","0.4666666666666667"
"184","7","7","300","8","0","0.05","70","0","0.41","0.59"
"192","7","7","300","8","0","0.05","43","0","0.4533333333333333","0.5466666666666666"
"191","7","7","300","8","0","0.05","62","0","0.48","0.52"
"194","7","7","300","8","0","0.05","48","0","0.7433333333333333","0.25666666666666665"
"193","7","7","300","8","0","0.05","70","0","0.5933333333333334","0.4066666666666667"
"197","7","7","300","8","0","0.05","48","0","0.6966666666666667","0.30333333333333334"
"196","7","7","300","8","0","0.05","48","0","0.5566666666666666","0.44333333333333336"
"190","7","7","300","8","0","0.05","60","0","0.68","0.32"
"198","7","7","300","8","0","0.05","70","0","0.5066666666666667","0.49333333333333335"
"202","7","7","300","8","0","0.1","58","0","0.43","0.57"
"195","7","7","300","8","0","0.05","62","0","0.56","0.44"
"204","7","7","300","8","0","0.1","62","0","0.6733333333333333","0.32666666666666666"
"207","7","7","300","8","0","0.1","42","0","0.8","0.2"
"203","7","7","300","8","0","0.1","70","0","0.84","0.16"
"199","7","7","300","8","0","0.05","47","0","0.38","0.62"
"201","7","7","300","8","0","0.1","70","0","0.6466666666666666","0.35333333333333333"
"200","7","7","300","8","0","0.05","70","0","0.44333333333333336","0.5566666666666666"
"206","7","7","300","8","0","0.1","70","0","0.6133333333333333","0.38666666666666666"
"205","7","7","300","8","0","0.1","48","0","0.5866666666666667","0.41333333333333333"
"210","7","7","300","8","0","0.1","58","0","0.4533333333333333","0.5466666666666666"
"213","7","7","300","8","0","0.1","70","0","0.37333333333333335","0.6266666666666667"
