mean-threshold1,mean-threshold2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.25,0.1,10750.5,5.0,5.0,300.0,8.0,61.55,0.0,0.03289999998,0.96710000002
0.25,0.15,10850.5,5.0,5.0,300.0,8.0,55.54,0.00083333333,0.05556666667,0.94360000001
0.25,0.2,10950.5,5.0,5.0,300.0,8.0,64.33,0.00743333334,0.14273333335,0.84983333332
0.25,0.25,11050.5,5.0,5.0,300.0,8.0,58.77,0.19296666669,0.39833333338000004,0.40870000001999995
0.25,0.3,11150.5,5.0,5.0,300.0,8.0,51.43,0.33206666669,0.61710000005,0.05083333338
0.25,0.35,11250.5,5.0,5.0,300.0,8.0,43.75,0.39650000003,0.58796666677,0.0155333334
0.25,0.4,11350.5,5.0,5.0,300.0,8.0,45.22,0.38266666669000005,0.6097333334199999,0.00760000008
0.25,0.45,11450.5,5.0,5.0,300.0,8.0,43.5,0.38493333339,0.60766666674,0.00740000009
0.25,0.5,11550.5,5.0,5.0,300.0,8.0,44.99,0.39536666671,0.59740000006,0.00723333341
0.25,0.55,11650.5,5.0,5.0,300.0,8.0,48.02,0.33543333334000003,0.6588333333699999,0.0057333333799999995
0.25,0.6,11750.5,5.0,5.0,300.0,8.0,47.15,0.3485333334,0.6450666667,0.00640000005
0.25,0.65,11850.5,5.0,5.0,300.0,8.0,44.21,0.39900000005,0.59406666677,0.00693333345
0.25,0.7,11950.5,5.0,5.0,300.0,8.0,49.16,0.34286666672000005,0.6510666666999999,0.0060666667500000005
0.25,0.75,12050.5,5.0,5.0,300.0,8.0,39.85,0.4486000001,0.5436000001,0.00780000012
0.25,0.8,12150.5,5.0,5.0,300.0,8.0,44.58,0.34760000007,0.6460666667399999,0.00633333341
0.25,0.85,12250.5,5.0,5.0,300.0,8.0,42.9,0.43823333341000004,0.55410000009,0.0076666667300000005
0.25,0.9,12350.5,5.0,5.0,300.0,8.0,45.99,0.37960000003,0.6140666667,0.00633333343
0.25,0.95,12450.5,5.0,5.0,300.0,8.0,42.6,0.42803333341,0.56456666676,0.00740000008
0.25,1.0,12550.5,5.0,5.0,300.0,8.0,40.85,0.41190000003,0.58053333342,0.007566666749999999
0.3,0.0,12650.5,5.0,5.0,300.0,8.0,52.18,3.333333e-05,0.00146666667,0.9984999999999999
0.3,0.05,12750.5,5.0,5.0,300.0,8.0,47.49,0.0,0.00086666667,0.99913333333
0.3,0.1,12850.5,5.0,5.0,300.0,8.0,49.96,3.333333e-05,0.0032,0.99676666667
0.3,0.15,12950.5,5.0,5.0,300.0,8.0,54.18,0.0006,0.00959999999,0.9898000000099999
0.3,0.2,13050.5,5.0,5.0,300.0,8.0,54.87,0.00756666668,0.015600000000000001,0.9768333333299999
0.3,0.25,13150.5,5.0,5.0,300.0,8.0,48.72,0.35119999999999996,0.058366666680000005,0.59043333339
0.3,0.3,13250.5,5.0,5.0,300.0,8.0,28.16,0.80600000009,0.09146666678000001,0.10253333348
0.3,0.35,13350.5,5.0,5.0,300.0,8.0,23.35,0.89183333341,0.08826666681,0.01990000021
