threshold-idea2,threshold-idea1,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.3,0.45,7250.5,5.0,5.0,300.0,8.0,21.54,0.93846666682,0.01640000028,0.04513333353
0.3,0.5,7350.5,5.0,5.0,300.0,8.0,21.29,0.9448333335700001,0.01623333364,0.03893333356
0.3,0.55,7450.5,5.0,5.0,300.0,8.0,20.83,0.94903333355,0.01636666697,0.034600000230000004
0.3,0.6,7550.5,5.0,5.0,300.0,8.0,21.53,0.93510000022,0.01620000028,0.048700000230000005
0.3,0.65,7650.5,5.0,5.0,300.0,8.0,21.57,0.9406333335400001,0.01616666697,0.043200000210000006
0.3,0.7,7750.5,5.0,5.0,300.0,8.0,21.36,0.94273333354,0.01633333363,0.040933333569999994
0.3,0.75,7850.5,5.0,5.0,300.0,8.0,21.23,0.94740000021,0.01626666697,0.036333333569999994
0.3,0.8,7950.5,5.0,5.0,300.0,8.0,22.34,0.93920000021,0.01603333361,0.04476666689
0.3,0.85,8050.5,5.0,5.0,300.0,8.0,21.03,0.9416000002,0.01646666696,0.04193333358
0.3,0.9,8150.5,5.0,5.0,300.0,8.0,20.62,0.9520333335800001,0.01643333366,0.031533333579999996
0.3,0.95,8250.5,5.0,5.0,300.0,8.0,21.4,0.95333333351,0.016400000289999998,0.030266666890000002
0.3,1.0,8350.5,5.0,5.0,300.0,8.0,20.45,0.9499333335600001,0.01646666698,0.03360000026
0.4,0.0,8450.5,5.0,5.0,300.0,8.0,44.76,0.0,1.0,0.0
0.4,0.05,8550.5,5.0,5.0,300.0,8.0,44.1,3.333333e-05,0.99996666667,0.0
0.4,0.1,8650.5,5.0,5.0,300.0,8.0,43.28,3.333333e-05,0.99996666667,0.0
0.4,0.15,8750.5,5.0,5.0,300.0,8.0,46.86,0.010833333330000002,0.98900000001,0.00016666667
0.4,0.2,8850.5,5.0,5.0,300.0,8.0,46.18,0.27476666675,0.71993333343,0.00530000007
0.4,0.25,8950.5,5.0,5.0,300.0,8.0,27.55,0.79400000016,0.19130000019,0.01470000022
0.4,0.3,9050.5,5.0,5.0,300.0,8.0,20.8,0.95153333354,0.03150000027,0.01696666694
0.4,0.35,9150.5,5.0,5.0,300.0,8.0,20.1,0.9659000003,0.01723333365,0.01686666698
0.4,0.4,9250.5,5.0,5.0,300.0,8.0,20.24,0.9659000003,0.01733333365,0.01676666698
0.4,0.45,9350.5,5.0,5.0,300.0,8.0,20.0,0.9661666669500001,0.01706666698,0.016766666989999998
0.4,0.5,9450.5,5.0,5.0,300.0,8.0,20.0,0.96660000032,0.016666667,0.016733333660000002
0.4,0.55,9550.5,5.0,5.0,300.0,8.0,20.0,0.96653333364,0.016666667,0.016800000319999998
0.4,0.6,9650.5,5.0,5.0,300.0,8.0,20.0,0.9664333336500001,0.016733333660000002,0.01683333365
0.4,0.65,9750.5,5.0,5.0,300.0,8.0,20.0,0.96570000031,0.016666667,0.01763333364
0.4,0.7,9850.5,5.0,5.0,300.0,8.0,20.0,0.96660000032,0.016666667,0.016733333660000002
0.4,0.75,9950.5,5.0,5.0,300.0,8.0,20.0,0.96660000032,0.016666667,0.016733333660000002
0.4,0.8,10050.5,5.0,5.0,300.0,8.0,20.0,0.96646666698,0.01670000033,0.01683333365
0.4,0.85,10150.5,5.0,5.0,300.0,8.0,20.0,0.96653333365,0.01670000033,0.016766666989999998
0.4,0.9,10250.5,5.0,5.0,300.0,8.0,20.0,0.9661333336200001,0.01670000033,0.01716666697
0.4,0.95,10350.5,5.0,5.0,300.0,8.0,20.2,0.96586666695,0.01663333366,0.017500000289999998
0.4,1.0,10450.5,5.0,5.0,300.0,8.0,20.0,0.96650000031,0.016666667,0.01683333365
