threshold-idea1,threshold-idea2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.25,0.2,10950.5,14.0,14.0,300.0,8.0,52.04,0.01090000002,0.2262333334,0.76286666659
0.25,0.25,11050.5,14.0,14.0,300.0,8.0,60.29,0.09106666667999999,0.44656666667000006,0.46236666668
0.25,0.3,11150.5,14.0,14.0,300.0,8.0,46.56,0.2191666667,0.63823333329,0.1426
0.25,0.35,11250.5,14.0,14.0,300.0,8.0,40.24,0.27373333335,0.6802000000399999,0.04606666667
0.25,0.4,11350.5,14.0,14.0,300.0,8.0,42.26,0.25163333336,0.7273000000400001,0.021066666629999998
0.25,0.45,11450.5,14.0,14.0,300.0,8.0,40.2,0.23130000003999998,0.7549333333299999,0.013766666680000001
0.25,0.5,11550.5,14.0,14.0,300.0,8.0,35.51,0.32383333335000003,0.6580666667,0.01810000002
0.25,0.55,11650.5,14.0,14.0,300.0,8.0,40.6,0.26476666669,0.72093333334,0.01430000004
0.25,0.6,11750.5,14.0,14.0,300.0,8.0,36.9,0.32776666668,0.6543666666100001,0.017866666740000002
0.25,0.65,11850.5,14.0,14.0,300.0,8.0,36.11,0.31903333335,0.66400000002,0.01696666667
0.25,0.7,11950.5,14.0,14.0,300.0,8.0,37.6,0.29416666664,0.68979999999,0.01603333338
0.25,0.75,12050.5,14.0,14.0,300.0,8.0,43.44,0.18766666668999998,0.80153333336,0.01079999998
0.25,0.8,12150.5,14.0,14.0,300.0,8.0,39.14,0.27453333335,0.70986666673,0.01560000002
0.25,0.85,12250.5,14.0,14.0,300.0,8.0,39.35,0.244,0.74223333339,0.01376666666
0.25,0.9,12350.5,14.0,14.0,300.0,8.0,41.75,0.21803333337000003,0.76996666667,0.012000000010000001
0.25,0.95,12450.5,14.0,14.0,300.0,8.0,41.28,0.22320000006000001,0.76486666669,0.011933333340000001
0.25,1.0,12550.5,14.0,14.0,300.0,8.0,41.48,0.24809999999,0.73873333329,0.01316666669
0.3,0.0,12650.5,14.0,14.0,300.0,8.0,40.74,0.00026666667,0.00363333332,0.99610000001
0.3,0.05,12750.5,14.0,14.0,300.0,8.0,41.43,0.0,0.00290000001,0.9970999999900001
0.3,0.1,12850.5,14.0,14.0,300.0,8.0,43.37,0.0,0.00603333331,0.99396666669
0.3,0.15,12950.5,14.0,14.0,300.0,8.0,48.7,0.00093333333,0.0225,0.97656666666
0.3,0.2,13050.5,14.0,14.0,300.0,8.0,49.55,0.009466666660000001,0.07129999994,0.9192333333899999
0.3,0.25,13150.5,14.0,14.0,300.0,8.0,46.27,0.21270000001,0.14539999997,0.64190000004
0.3,0.3,13250.5,14.0,14.0,300.0,8.0,30.45,0.61373333333,0.19003333336,0.19623333334
0.3,0.35,13350.5,14.0,14.0,300.0,8.0,22.08,0.67769999997,0.26060000002,0.06170000009
0.3,0.4,13450.5,14.0,14.0,300.0,8.0,18.88,0.74106666668,0.21390000001,0.04503333339
0.3,0.45,13550.5,14.0,14.0,300.0,8.0,18.26,0.73919999998,0.21986666671,0.04093333338
0.3,0.5,13650.5,14.0,14.0,300.0,8.0,15.65,0.785,0.17390000002,0.04110000022
0.3,0.55,13750.5,14.0,14.0,300.0,8.0,18.34,0.7375666666799999,0.22436666666000002,0.03806666679
0.3,0.6,13850.5,14.0,14.0,300.0,8.0,14.94,0.76710000003,0.19260000006,0.04030000015000001
0.3,0.65,13950.5,14.0,14.0,300.0,8.0,20.24,0.71750000005,0.24510000005,0.03740000014
0.3,0.7,14050.5,14.0,14.0,300.0,8.0,18.62,0.74786666667,0.21303333338000002,0.03910000016
0.3,0.75,14150.5,14.0,14.0,300.0,8.0,19.53,0.73376666668,0.22833333335,0.03790000014
0.3,0.8,14250.5,14.0,14.0,300.0,8.0,17.21,0.73710000004,0.2243333334,0.038566666810000004
0.3,0.85,14350.5,14.0,14.0,300.0,8.0,17.33,0.7315666667099999,0.23020000007,0.03823333348
0.3,0.9,14450.5,14.0,14.0,300.0,8.0,22.65,0.7065000000099999,0.25743333339,0.03606666674
0.3,0.95,14550.5,14.0,14.0,300.0,8.0,18.77,0.7456333333799999,0.21610000006,0.0382666668
0.3,1.0,14650.5,14.0,14.0,300.0,8.0,21.4,0.7053000000299999,0.25836666664999997,0.03633333347
0.35,0.0,14750.5,14.0,14.0,300.0,8.0,36.69,6.666667000000001e-05,6.666667000000001e-05,0.99986666666
0.35,0.05,14850.5,14.0,14.0,300.0,8.0,38.08,0.0,0.00036666666,0.9996333333399999
0.35,0.1,14950.5,14.0,14.0,300.0,8.0,39.19,3.333333e-05,0.00123333332,0.9987333333399999
0.35,0.15,15050.5,14.0,14.0,300.0,8.0,41.19,0.00093333333,0.00249999999,0.99656666668
0.35,0.2,15150.5,14.0,14.0,300.0,8.0,45.56,0.01130000001,0.01563333334,0.97306666665
0.35,0.25,15250.5,14.0,14.0,300.0,8.0,44.98,0.20023333334,0.03559999999,0.76416666669
0.35,0.3,15350.5,14.0,14.0,300.0,8.0,24.67,0.69560000002,0.06990000008,0.23450000004
0.35,0.35,15450.5,14.0,14.0,300.0,8.0,11.83,0.85053333337,0.07276666677,0.07670000015
0.35,0.4,15550.5,14.0,14.0,300.0,8.0,8.52,0.87783333337,0.06993333343,0.052233333470000004
0.35,0.45,15650.5,14.0,14.0,300.0,8.0,7.96,0.8797333333999999,0.07376666677,0.04650000017
0.35,0.5,15750.5,14.0,14.0,300.0,8.0,7.46,0.8838000001,0.07023333347,0.0459666669
0.35,0.55,15850.5,14.0,14.0,300.0,8.0,8.94,0.8823000001200001,0.07180000010000001,0.04590000021
0.35,0.6,15950.5,14.0,14.0,300.0,8.0,8.31,0.88283333345,0.07176666681,0.04540000024
0.35,0.65,16050.5,14.0,14.0,300.0,8.0,7.19,0.88180000011,0.0728666668,0.04533333355
0.35,0.7,16150.5,14.0,14.0,300.0,8.0,7.63,0.88153333345,0.07283333346,0.04563333355
0.35,0.75,16250.5,14.0,14.0,300.0,8.0,8.29,0.88663333344,0.06783333348000001,0.045533333540000005
0.35,0.8,16350.5,14.0,14.0,300.0,8.0,8.31,0.8809333334199999,0.07386666678,0.04520000023000001
0.35,0.85,16450.5,14.0,14.0,300.0,8.0,7.44,0.87760000014,0.07663333348,0.04576666688
0.35,0.9,16550.5,14.0,14.0,300.0,8.0,8.29,0.8804666667700001,0.07410000014000001,0.0454333336
0.35,0.95,16650.5,14.0,14.0,300.0,8.0,7.45,0.88800000012,0.06620000015000001,0.04580000022
