[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
276,7,7,300,8,0,0.1,57,0,0.63,0.37
277,7,7,300,8,0,0.1,70,0,0.686666667,0.313333333
278,7,7,300,8,0,0.1,53,0,0.836666667,0.163333333
279,7,7,300,8,0,0.1,41,0,0.75,0.25
280,7,7,300,8,0,0.1,70,0,0.593333333,0.406666667
281,7,7,300,8,0,0.1,61,0,0.47,0.53
282,7,7,300,8,0,0.1,68,0,0.716666667,0.283333333
283,7,7,300,8,0,0.1,70,0,0.78,0.22
284,7,7,300,8,0,0.1,48,0,0.543333333,0.456666667
285,7,7,300,8,0,0.1,70,0,0.773333333,0.226666667
286,7,7,300,8,0,0.1,69,0,0.54,0.46
287,7,7,300,8,0,0.1,49,0,0.563333333,0.436666667
288,7,7,300,8,0,0.1,37,0,0.653333333,0.346666667
289,7,7,300,8,0,0.1,70,0,0.71,0.29
290,7,7,300,8,0,0.1,34,0,0.653333333,0.346666667
291,7,7,300,8,0,0.1,70,0,0.55,0.45
292,7,7,300,8,0,0.1,47,0,0.476666667,0.523333333
293,7,7,300,8,0,0.1,64,0,0.646666667,0.353333333
294,7,7,300,8,0,0.1,55,0,0.703333333,0.296666667
295,7,7,300,8,0,0.1,70,0,0.633333333,0.366666667
296,7,7,300,8,0,0.1,38,0,0.716666667,0.283333333
297,7,7,300,8,0,0.1,70,0,0.64,0.36
298,7,7,300,8,0,0.1,70,0,0.673333333,0.326666667
299,7,7,300,8,0,0.1,70,0,0.793333333,0.206666667
300,7,7,300,8,0,0.1,55,0,0.683333333,0.316666667
301,7,7,300,8,0,0.15,67,0,0.75,0.25
302,7,7,300,8,0,0.15,67,0,0.863333333,0.136666667
303,7,7,300,8,0,0.15,63,0,0.92,0.08
